fhora                  | nombre                     | avg_temp | avg_pres | avg_vel
-----------------------+----------------------------+----------+----------+--------
2024-01-05T02:00:00CET | JCI Estacion meteorologica | 0.94     | 981.00   | 2.18   
2024-01-05T03:00:00CET | JCI Estacion meteorologica | 0.95     | 980.92   | 3.07   
2024-01-05T04:00:00CET | JCI Estacion meteorologica | 0.93     | 980.97   | 3.12   
2024-01-05T05:00:00CET | JCI Estacion meteorologica | 0.90     | 981.03   | 3.10   
2024-01-05T06:00:00CET | JCI Estacion meteorologica | 0.85     | 981.22   | 3.17   
2024-01-05T07:00:00CET | JCI Estacion meteorologica | 0.68     | 981.65   | 3.45   
2024-01-05T08:00:00CET | JCI Estacion meteorologica | 0.63     | 982.13   | 3.05   
2024-01-05T09:00:00CET | JCI Estacion meteorologica | 0.53     | 982.67   | 3.02   
2024-01-05T10:00:00CET | JCI Estacion meteorologica | 0.37     | 983.38   | 2.52   
2024-01-05T11:00:00CET | JCI Estacion meteorologica | 0.55     | 983.65   | 2.98   
2024-01-05T12:00:00CET | JCI Estacion meteorologica | 0.83     | 983.93   | 2.67   
2024-01-05T13:00:00CET | JCI Estacion meteorologica | 1.12     | 984.08   | 2.15   
2024-01-05T14:00:00CET | JCI Estacion meteorologica | 1.35     | 984.30   | 2.28   
2024-01-05T15:00:00CET | JCI Estacion meteorologica | 1.10     | 984.12   | 1.70   
2024-01-05T16:00:00CET | JCI Estacion meteorologica | 1.67     | 984.08   | 3.05   
2024-01-05T17:00:00CET | JCI Estacion meteorologica | 2.55     | 984.05   | 1.98   
2024-01-05T18:00:00CET | JCI Estacion meteorologica | 3.05     | 983.98   | 2.68   
2024-01-05T19:00:00CET | JCI Estacion meteorologica | 3.50     | 983.62   | 3.40   
2024-01-05T20:00:00CET | JCI Estacion meteorologica | 2.45     | 983.22   | 3.32   
2024-01-05T21:00:00CET | JCI Estacion meteorologica | 1.80     | 982.40   | 4.18   
2024-01-05T22:00:00CET | JCI Estacion meteorologica | 1.47     | 981.85   | 2.75   
2024-01-05T23:00:00CET | JCI Estacion meteorologica | 1.70     | 981.17   | 2.58   
2024-01-06T00:00:00CET | JCI Estacion meteorologica | 1.85     | 980.98   | 2.73   
2024-01-06T01:00:00CET | JCI Estacion meteorologica | 1.15     | 981.17   | 3.20   
2024-01-06T02:00:00CET | JCI Estacion meteorologica | 1.22     | 981.12   | 2.12   
2024-01-06T03:00:00CET | JCI Estacion meteorologica | 1.00     | 981.22   | 2.47   
2024-01-06T04:00:00CET | JCI Estacion meteorologica | 0.92     | 981.45   | 2.13   
2024-01-06T05:00:00CET | JCI Estacion meteorologica | 0.45     | 981.85   | 1.68   
2024-01-06T06:00:00CET | JCI Estacion meteorologica | 0.20     | 982.12   | 1.73   
2024-01-06T07:00:00CET | JCI Estacion meteorologica | 0.10     | 982.05   | 0.90   
2024-01-06T08:00:00CET | JCI Estacion meteorologica | 0.43     | 982.20   | 2.02   
2024-01-06T09:00:00CET | JCI Estacion meteorologica | 0.62     | 982.20   | 1.92   
2024-01-06T10:00:00CET | JCI Estacion meteorologica | 0.50     | 982.23   | 0.68   
2024-01-06T11:00:00CET | JCI Estacion meteorologica | 0.80     | 982.20   | 0.67   
2024-01-06T12:00:00CET | JCI Estacion meteorologica | 1.17     | 981.97   | 1.67   
2024-01-06T13:00:00CET | JCI Estacion meteorologica | 1.40     | 981.68   | 2.48   
2024-01-06T14:00:00CET | JCI Estacion meteorologica | 1.75     | 981.58   | 2.08   
2024-01-06T15:00:00CET | JCI Estacion meteorologica | 2.33     | 981.68   | 2.87   
2024-01-06T16:00:00CET | JCI Estacion meteorologica | 2.72     | 981.55   | 2.15   
2024-01-06T17:00:00CET | JCI Estacion meteorologica | 3.12     | 981.23   | 2.88   
2024-01-06T18:00:00CET | JCI Estacion meteorologica | 2.35     | 980.87   | 4.03   
2024-01-06T19:00:00CET | JCI Estacion meteorologica | 2.10     | 980.43   | 4.08   
2024-01-06T20:00:00CET | JCI Estacion meteorologica | 1.93     | 980.10   | 3.00   
2024-01-06T21:00:00CET | JCI Estacion meteorologica | 2.08     | 979.33   | 4.67   
2024-01-06T22:00:00CET | JCI Estacion meteorologica | 1.87     | 978.83   | 4.45   
2024-01-06T23:00:00CET | JCI Estacion meteorologica | 1.53     | 978.55   | 4.42   
2024-01-07T00:00:00CET | JCI Estacion meteorologica | 1.42     | 978.50   | 2.23   
2024-01-07T01:00:00CET | JCI Estacion meteorologica | 1.77     | 978.50   | 1.63   
2024-01-07T02:00:00CET | JCI Estacion meteorologica | 2.10     | 978.80   | 2.30   
