fhora                  | nombre                     | avg_temp | avg_pres | avg_vel
-----------------------+----------------------------+----------+----------+--------
2024-01-05T02:10:00CET | JCI Estacion meteorologica | 1.10     | 980.90   | 1.70   
2024-01-05T02:20:00CET | JCI Estacion meteorologica | 1.00     | 981.00   | 2.20   
2024-01-05T02:30:00CET | JCI Estacion meteorologica | 0.90     | 981.00   | 2.20   
2024-01-05T02:40:00CET | JCI Estacion meteorologica | 0.90     | 981.00   | 2.20   
2024-01-05T02:50:00CET | JCI Estacion meteorologica | 0.80     | 981.10   | 2.60   
2024-01-05T03:00:00CET | JCI Estacion meteorologica | 0.90     | 981.10   | 2.60   
2024-01-05T03:10:00CET | JCI Estacion meteorologica | 1.00     | 981.00   | 2.60   
2024-01-05T03:20:00CET | JCI Estacion meteorologica | 1.00     | 980.90   | 3.10   
2024-01-05T03:30:00CET | JCI Estacion meteorologica | 1.00     | 980.80   | 3.20   
2024-01-05T03:40:00CET | JCI Estacion meteorologica | 0.90     | 980.80   | 3.40   
2024-01-05T03:50:00CET | JCI Estacion meteorologica | 0.90     | 980.90   | 3.50   
2024-01-05T04:00:00CET | JCI Estacion meteorologica | 0.90     | 980.90   | 3.30   
2024-01-05T04:10:00CET | JCI Estacion meteorologica | 1.00     | 980.90   | 2.90   
2024-01-05T04:20:00CET | JCI Estacion meteorologica | 1.00     | 980.90   | 3.40   
2024-01-05T04:30:00CET | JCI Estacion meteorologica | 0.90     | 981.00   | 3.60   
2024-01-05T04:40:00CET | JCI Estacion meteorologica | 0.90     | 981.10   | 2.40   
2024-01-05T04:50:00CET | JCI Estacion meteorologica | 0.90     | 981.00   | 3.10   
2024-01-05T05:00:00CET | JCI Estacion meteorologica | 0.90     | 981.00   | 2.60   
2024-01-05T05:10:00CET | JCI Estacion meteorologica | 0.90     | 981.00   | 3.10   
2024-01-05T05:20:00CET | JCI Estacion meteorologica | 0.90     | 981.10   | 2.70   
2024-01-05T05:30:00CET | JCI Estacion meteorologica | 0.90     | 981.00   | 3.70   
2024-01-05T05:40:00CET | JCI Estacion meteorologica | 0.90     | 981.10   | 3.10   
2024-01-05T05:50:00CET | JCI Estacion meteorologica | 0.90     | 981.00   | 3.40   
2024-01-05T06:00:00CET | JCI Estacion meteorologica | 0.90     | 981.10   | 3.20   
2024-01-05T06:10:00CET | JCI Estacion meteorologica | 0.90     | 981.20   | 2.80   
2024-01-05T06:20:00CET | JCI Estacion meteorologica | 0.80     | 981.10   | 2.90   
2024-01-05T06:30:00CET | JCI Estacion meteorologica | 0.90     | 981.30   | 3.70   
2024-01-05T06:40:00CET | JCI Estacion meteorologica | 0.80     | 981.30   | 3.00   
2024-01-05T06:50:00CET | JCI Estacion meteorologica | 0.80     | 981.30   | 3.40   
2024-01-05T07:00:00CET | JCI Estacion meteorologica | 0.80     | 981.40   | 3.70   
2024-01-05T07:10:00CET | JCI Estacion meteorologica | 0.80     | 981.60   | 3.80   
2024-01-05T07:20:00CET | JCI Estacion meteorologica | 0.70     | 981.60   | 2.90   
2024-01-05T07:30:00CET | JCI Estacion meteorologica | 0.60     | 981.70   | 3.10   
2024-01-05T07:40:00CET | JCI Estacion meteorologica | 0.60     | 981.80   | 3.20   
2024-01-05T07:50:00CET | JCI Estacion meteorologica | 0.60     | 981.80   | 4.00   
2024-01-05T08:00:00CET | JCI Estacion meteorologica | 0.60     | 981.90   | 3.20   
2024-01-05T08:10:00CET | JCI Estacion meteorologica | 0.70     | 982.00   | 3.00   
2024-01-05T08:20:00CET | JCI Estacion meteorologica | 0.70     | 982.10   | 2.90   
2024-01-05T08:30:00CET | JCI Estacion meteorologica | 0.60     | 982.20   | 3.30   
2024-01-05T08:40:00CET | JCI Estacion meteorologica | 0.60     | 982.30   | 2.60   
2024-01-05T08:50:00CET | JCI Estacion meteorologica | 0.60     | 982.30   | 3.30   
2024-01-05T09:00:00CET | JCI Estacion meteorologica | 0.60     | 982.40   | 2.60   
2024-01-05T09:10:00CET | JCI Estacion meteorologica | 0.50     | 982.40   | 3.20   
2024-01-05T09:20:00CET | JCI Estacion meteorologica | 0.60     | 982.50   | 3.30   
2024-01-05T09:30:00CET | JCI Estacion meteorologica | 0.60     | 982.80   | 2.80   
2024-01-05T09:40:00CET | JCI Estacion meteorologica | 0.50     | 982.90   | 2.70   
2024-01-05T09:50:00CET | JCI Estacion meteorologica | 0.40     | 983.00   | 3.50   
2024-01-05T10:00:00CET | JCI Estacion meteorologica | 0.30     | 983.20   | 2.70   
2024-01-05T10:10:00CET | JCI Estacion meteorologica | 0.40     | 983.30   | 2.80   
2024-01-05T10:20:00CET | JCI Estacion meteorologica | 0.50     | 983.30   | 2.50   
2024-01-05T10:30:00CET | JCI Estacion meteorologica | 0.40     | 983.50   | 2.70   
2024-01-05T10:40:00CET | JCI Estacion meteorologica | 0.30     | 983.50   | 2.30   
2024-01-05T10:50:00CET | JCI Estacion meteorologica | 0.30     | 983.50   | 2.10   
2024-01-05T11:00:00CET | JCI Estacion meteorologica | 0.60     | 983.60   | 2.90   
2024-01-05T11:10:00CET | JCI Estacion meteorologica | 0.70     | 983.50   | 3.10   
2024-01-05T11:20:00CET | JCI Estacion meteorologica | 0.50     | 983.70   | 2.80   
2024-01-05T11:30:00CET | JCI Estacion meteorologica | 0.30     | 983.70   | 2.60   
2024-01-05T11:40:00CET | JCI Estacion meteorologica | 0.60     | 983.70   | 3.40   
2024-01-05T11:50:00CET | JCI Estacion meteorologica | 0.60     | 983.70   | 3.10   
2024-01-05T12:00:00CET | JCI Estacion meteorologica | 0.70     | 983.70   | 3.40   
2024-01-05T12:10:00CET | JCI Estacion meteorologica | 0.70     | 983.80   | 2.50   
2024-01-05T12:20:00CET | JCI Estacion meteorologica | 0.80     | 983.90   | 2.40   
2024-01-05T12:30:00CET | JCI Estacion meteorologica | 0.80     | 984.00   | 2.50   
